Year,Period,price_cwt,N,P,K,temperature,humidity,ph,rainfall,label
2014,JAN,21.5,40,72,77,17.0,17.0,7.5,88.6,Soyabeans
2014,JAN,21.5,23,72,84,19.0,17.1,6.9,79.9,Soyabeans
2014,JAN,21.5,39,58,85,17.9,15.4,6.0,68.5,Soyabeans
2014,JAN,21.5,22,72,85,18.9,15.7,6.4,88.5,Soyabeans
2014,JAN,21.5,36,67,77,18.4,19.6,7.2,79.3,Soyabeans
2014,JAN,21.5,32,73,81,20.5,15.4,6.0,92.7,Soyabeans
2014,JAN,21.5,58,70,84,20.7,16.6,6.2,74.7,Soyabeans
2014,JAN,21.5,59,70,84,17.3,18.7,7.6,82.6,Soyabeans
2014,JAN,21.5,42,62,75,18.2,18.9,7.0,81.8,Soyabeans
2014,JAN,21.5,28,74,81,18.0,18.3,8.8,82.0,Soyabeans
2014,JAN,21.5,58,66,79,21.0,19.3,8.7,93.6,Soyabeans
2014,JAN,21.5,43,66,79,19.5,15.2,8.0,74.6,Soyabeans
2014,JAN,21.5,58,63,81,19.8,14.7,6.5,79.0,Soyabeans
2014,JAN,21.5,23,62,85,19.0,19.5,8.5,80.7,Soyabeans
2014,JAN,21.5,27,62,77,18.2,14.7,6.6,70.2,Soyabeans
2014,JAN,21.5,28,72,84,18.7,19.2,6.5,71.6,Soyabeans
2014,JAN,21.5,50,56,76,21.0,19.9,8.0,73.5,Soyabeans
2014,JAN,21.5,39,71,84,20.3,16.4,8.1,82.5,Soyabeans
2014,JAN,21.5,25,78,76,17.5,15.8,7.2,67.0,Soyabeans
2014,JAN,21.5,31,70,77,20.9,14.3,6.5,90.5,Soyabeans
2014,JAN,21.5,26,80,83,17.1,16.1,7.5,71.3,Soyabeans
2014,JAN,21.5,25,68,77,20.1,15.1,7.7,85.7,Soyabeans
2014,JAN,21.5,31,78,76,17.6,15.0,8.5,89.3,Soyabeans
2014,JAN,21.5,60,68,83,19.1,18.4,6.6,85.5,Soyabeans
